brand_id,,model,,category_id,,price,,image,,description
1,,Concept 3 Full Shield,,5,,84.99,,https://www.prohockeylife.com/cdn/shop/products/bauer_2013_concept3_visor_3a3a75bc-8a79-40a7-a97e-41ae147894bd_1024x1024.jpg?v=1542907047,,Hockey shield visor.
3,,780 Hockey Cage,,5,,69.99,,https://www.prohockeylife.com/cdn/shop/products/CCM-FM780-Hockey-Cage_1024x1024.jpg?v=1607109380,,Hockey helmet cage.
4,,Alpha One Hockey Cage,,5,,71.99,,https://www.prohockeylife.com/cdn/shop/products/Warrior-Alpha-One-Hockey-Cage_1024x1024.jpg?v=1569128273,,Hockey helmet cage.
1,,Hybrid Hockey Shield,,5,,74.99,,https://www.prohockeylife.com/cdn/shop/products/bauer_2014_hybrid_visor_1024x1024.jpg?v=1568992731,,Hockey shield visor.
3,,FV1 Hockey Visor,,5,,99.99,,https://www.prohockeylife.com/cdn/shop/products/CCM-FV1-FULL-HOCKEY-VISOR-FMFV1_a98c56d3-7ebe-475c-9a29-0b735888ee0e_1024x1024.jpg?v=1569281760,,Hockey shield visor
