brand_id,,model,,category_id,,price,,image,,description
1,,Twitch,,2,,439.99,,https://www.prohockeylife.com/cdn/shop/files/BAUER-TWITCH-HOCKEY-STICK-EIGHTEEN_50bc4398-b3d6-4eec-bb05-d520fe13f07f_1024x1024.jpg?v=1726239922,,Put the future in the palms of your hands. The BAUER TWITCH Stick is the first stick built with TWITCH Taper technology — a cutting-edge design that optimizes your stick to flex further and recoil faster than XE Taper. Engineered to supercharge your shot and deliver a fluid-like release, this game-changing construction is made specifically for the next generation of goal scorers. The future is here. Grab hold of it.
2,,Project X,,2,,399.99,,https://www.prohockeylife.com/cdn/shop/files/TRUE-PROJECT-X-HOCKEY-STICK-EIGHT_1024x1024.jpg?v=1697724445,,Featuring the most innovative materials and advanced manufacturing processes on the planet, PROJECT X combines lightning quick release and pinpoint accuracy in an ultralightweight, high-performance package
3,,FT Ghost,,2,,339.99,,https://www.prohockeylife.com/cdn/shop/files/CCM-FT-GHOST-HOCKEY-STICK-FOUR_1024x1024.jpg?v=1696343524,,Spook the goalie with the power and precision of the CCM FTGhost limited edition stick. Built with a pro-only, rounded shaft with “C” geometry for better handling and combined with the X-Soft Pro Blade for ultimate stick control, this is CCM’s most requested pro construction. Hauntingly light and durable, thanks to Nanolite Shield Technology, the FTGhost is the stick of choice for players looking for a blend of speed and response. Expect a scary-good shot, every single time.
4,,Super Novium,,2,,329.99,,https://www.prohockeylife.com/cdn/shop/files/WARRIOR-SUPER-NOVIUM-SENIOR-HOCKEY-STICK_1024x1024.jpg?v=1697486398,,Introducing the WARRIOR SUPER NOVIUM SENIOR HOCKEY STICK! It features an advanced construction for superior power and control, making it the perfect stick to take your game to the next level.
5,,Code Encrypt,,2,,350.99,,https://www.prohockeylife.com/cdn/shop/files/SHERWOOD-CODE-ENCRYPT-PRO-HOCKEY-STICK-TWO_cddf126b-a882-460b-bd58-4b46e33831e9_1024x1024.jpg?v=1719496470,,Unleash your potential! Strategically created with the elite playmaker in mind, the CODE Encrypt Pro stick is built for performance. The lightest CODE model ever made is equipped with a perfectly balanced hybrid kick point. A new advanced composite lay up ensures exceptional puck handling and shooting, because we know you can do both. Featuring the state-of-the-art ergonomic EVT shaft shape, creating energized power transfer for puck distribution accuracy and the ultimate confidence on the ice. The new re-engineered blade profile features the VR-92 internal dampening laminate to reduce vibration in key impact zones. The Blackline XXV carbon fiber weave features 25,000 filaments in a square inch of the sticks outer shell improving strength and reducing weight. The CODE Encrypt Pro stick is unmatched in power, precision and control, making it the ultimate instrument for top-tier players worldwide.
